Ranking,Name,Date,Year,Quart,Sales,Audience,Screen,History,Action,Drama,Horor,Disaster,Comic,Erotic,Crime,Actorpower,Thousand,Factory,Y0,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18
153,후궁 : 제왕의 첩,2012-06-06,12,2qr,19330302500,2636320,624,1,0,0,0,0,0,0,0,28,0,1,0,0,0,0,0,1,0,0,0,0,0,0
154,탐정 : 더 비기닝,2015-09-24,15,3qr,20463956973,2625686,764,0,1,0,0,0,0,0,0,42,0,1,0,0,0,0,0,0,0,0,1,0,0,0
155,지금 만나러 갑니다,2018-03-14,18,1qr,20801160128,2602316,1163,0,0,1,0,0,0,0,0,27,0,1,0,0,0,0,0,0,0,0,0,0,0,1
156,위험한 상견례,2011-03-31,11,1qr,19174920500,2595625,524,0,0,1,0,0,0,0,0,32,0,1,0,0,0,0,1,0,0,0,0,0,0,0
157,아수라,2016-09-28,16,3qr,20576226662,2594028,1278,0,1,0,0,0,0,0,0,31,3,1,0,0,0,0,0,0,0,0,0,1,0,0
158,보안관,2017-05-03,17,2qr,20844405409,2588617,1091,0,1,0,0,0,0,0,1,38,2,1,0,0,0,0,0,0,0,0,0,0,1,0
159,굿모닝 프레지던트,2009-10-22,9,4qr,18770889320,2583294,586,0,0,1,0,0,0,0,0,42,2,1,0,0,1,0,0,0,0,0,0,0,0,0
160,음란서생,2006-02-23,6,1qr,19204929402,2576022,84,1,0,0,0,0,0,1,0,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0
161,내 머리 속의 지우개,2004-11-05,4,4qr,20392918482,2565078,68,0,0,1,0,0,0,0,0,43,0,1,0,0,0,0,0,0,0,0,0,0,0,0
162,기술자들,2014-12-24,14,4qr,19894297783,2564340,641,0,1,0,0,0,0,0,1,27,0,1,0,0,0,0,0,0,0,1,0,0,0,0
163,내 생애 가장 아름다운 일주일,2005-10-07,5,4qr,19204928582,2533103,105,0,0,1,0,0,0,0,0,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0
164,조작된 도시,2017-02-09,17,1qr,20138295587,2514943,1019,0,1,0,0,0,0,0,0,42,1,1,0,0,0,0,0,0,0,0,0,0,1,0
165,공동경비구역 JSA,2000-09-08,1,3qr,18204929402,2513540,0,1,1,0,0,0,0,0,0,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0
166,우리 형,2004-10-08,4,4qr,18452838593,2479585,77,0,0,1,0,0,0,0,0,43,0,1,0,0,0,0,0,0,0,0,0,0,0,0
167,반창꼬,2012-12-19,12,4qr,17911274787,2475797,466,0,0,1,0,0,0,0,0,34,1,0,0,0,0,0,0,1,0,0,0,0,0,0
168,박수칠 때 떠나라,2005-08-11,5,3qr,17623829592,2475291,78,0,1,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
