Audience,Year,Screen,History,Action,Drama,Horor,Disaster,Comic,Erotic,Crime,Actorpower,Thousand,Factory
3,9,314,0,0,1,0,0,0,0,0,25,0,0
3,17,915,0,0,0,1,0,0,0,0,27,2,1
3,4,43,0,0,0,0,0,1,0,0,26,0,0
3,5,88,1,0,0,0,0,0,0,0,19,0,0
3,16,733,0,0,1,0,0,0,0,0,17,0,1
3,12,539,0,1,0,0,0,0,0,0,29,1,1
3,13,541,0,0,0,1,0,0,0,0,25,0,1
3,6,50,1,0,0,0,0,0,0,0,28,0,1
3,18,985,0,0,1,0,0,0,0,0,20,0,0
3,5,48,0,0,1,0,0,0,0,0,28,0,1
3,5,41,0,0,1,0,0,1,0,0,22,0,1
3,14,627,0,1,0,0,0,1,0,0,24,1,0
3,4,55,0,0,0,0,0,1,0,0,21,0,1
3,8,451,0,0,1,0,0,0,0,0,26,0,0
3,14,618,0,0,1,0,0,1,0,0,20,3,0
3,16,499,1,0,0,0,0,0,0,0,21,0,0
3,16,767,0,0,1,0,0,1,0,0,31,1,1
3,12,643,0,0,1,0,0,0,0,0,30,0,0
3,15,688,0,0,1,0,0,0,0,0,22,2,1
3,5,55,0,0,0,0,0,1,0,0,17,0,1
3,2,54,0,1,0,0,0,0,0,0,32,0,0
3,12,447,0,0,0,0,0,1,0,0,27,0,1
3,16,790,0,0,0,1,0,0,0,1,25,0,0
3,10,334,0,1,0,0,0,0,0,0,27,1,0
3,5,45,0,0,1,0,0,0,0,0,19,0,0
3,13,583,0,0,1,0,0,1,0,0,30,0,1
3,10,442,0,0,1,0,0,1,0,0,25,0,1
3,17,781,0,0,1,0,0,0,0,0,18,0,0
3,18,874,0,0,1,0,0,0,0,0,23,2,0
3,15,607,0,0,1,0,0,0,0,0,20,0,1
3,8,327,0,0,1,0,0,0,0,0,18,0,0
3,6,46,0,0,0,1,0,0,0,0,18,0,1
3,11,471,0,1,0,0,0,0,0,0,21,0,0
3,12,549,0,1,0,0,0,0,0,0,30,0,1
3,15,697,1,0,0,0,0,0,0,0,19,0,1
3,4,35,0,0,0,1,0,0,0,0,20,0,1
3,10,317,0,0,0,1,0,0,0,0,21,0,0
3,7,76,0,0,1,0,0,0,0,0,25,0,0
3,5,45,0,0,1,0,0,0,0,0,25,0,0
3,4,47,0,0,0,0,0,1,0,0,32,0,1
3,3,47,0,0,0,0,0,1,0,0,22,0,0
3,16,855,0,0,1,0,0,0,0,0,29,0,0
3,5,87,0,0,1,0,0,0,0,0,27,0,0
3,16,683,0,0,0,1,0,0,0,0,25,0,0
3,11,411,0,0,1,0,0,0,0,0,30,0,1
3,5,78,0,0,1,0,0,0,0,0,21,0,1
3,13,660,0,1,0,0,0,0,0,0,30,0,1
3,9,397,0,0,0,1,0,0,0,0,31,1,1
3,15,681,0,0,0,1,0,0,0,0,31,1,0
3,6,66,0,0,1,0,0,0,0,0,17,0,1
3,12,457,0,0,1,0,0,0,0,0,1,0,1
3,-7,16,1,0,0,0,0,0,0,0,20,0,0
3,10,190,0,0,0,1,0,0,0,0,18,0,0
3,11,435,0,0,1,0,0,0,0,0,28,0,1
3,3,53,0,0,1,0,0,0,0,0,21,0,1
3,7,103,0,1,0,0,0,0,0,0,27,0,1
3,7,76,0,0,0,0,0,1,0,0,32,0,1
3,6,90,0,0,1,0,0,0,0,0,22,0,1
3,6,87,0,1,0,0,0,0,0,0,29,0,1
3,11,445,0,0,1,0,0,0,0,0,23,0,1
3,4,40,0,0,0,1,0,0,0,0,20,0,0
3,18,1099,0,1,0,0,0,0,0,0,17,6,0
3,14,594,0,0,1,0,0,0,0,0,17,0,1
3,5,41,0,1,0,0,0,0,0,0,26,0,1
3,10,259,0,0,0,0,0,1,0,0,27,0,0
3,15,437,0,0,0,0,0,1,0,0,17,0,0
3,12,435,0,0,0,0,0,1,0,0,21,0,1
3,12,474,0,0,1,0,0,0,0,0,28,0,1
3,13,581,0,0,1,0,0,0,0,0,26,0,1
3,7,56,0,0,1,0,0,0,0,0,30,0,1
3,12,444,0,0,0,0,0,0,0,0,17,0,0
3,8,263,0,0,1,0,0,0,0,0,22,0,1
3,16,765,1,0,0,0,0,0,0,0,32,0,1
3,14,566,0,0,1,0,0,0,0,0,32,1,1
3,9,398,0,0,1,0,0,0,0,0,17,0,0
3,15,621,0,0,0,0,0,1,0,0,17,2,0
3,12,479,0,0,1,0,0,0,0,0,22,0,0
3,17,860,0,1,0,0,0,0,0,0,18,1,1
3,7,64,0,0,0,0,0,1,0,0,30,0,0
3,5,47,0,0,1,0,0,0,0,0,26,0,0
3,8,355,0,1,0,1,0,0,0,0,24,0,1
3,3,44,0,0,0,0,0,1,0,0,31,0,1
3,10,272,0,0,1,0,0,0,0,0,28,0,1
3,4,39,0,0,0,0,0,1,0,0,32,0,0
3,13,459,0,0,1,0,0,0,0,0,1,0,1
3,3,41,0,0,1,0,0,0,0,0,17,0,0
3,3,50,0,0,1,0,0,0,0,0,15,0,0
3,8,303,0,0,1,0,0,0,0,0,17,0,0
3,6,52,0,0,0,0,0,1,0,0,16,0,1
3,7,83,0,0,1,0,0,0,0,0,26,0,1
3,18,1085,0,1,0,0,0,0,0,0,27,1,0
3,4,50,0,0,0,0,0,1,0,0,30,0,0
3,6,44,0,0,0,0,0,1,0,0,18,0,0
3,4,32,0,0,0,0,0,1,0,0,24,0,1
3,10,320,0,0,0,1,0,0,0,0,26,0,0
3,1,0,0,0,0,0,0,1,0,0,21,0,0
3,11,407,0,0,0,0,0,1,0,0,24,1,1
3,13,512,0,0,1,0,0,0,0,0,29,0,1
3,18,758,0,0,1,0,0,0,0,0,19,0,0
3,12,361,0,0,0,1,0,0,0,0,17,0,1
3,-7,2,0,0,0,0,0,1,0,0,19,0,0
3,4,31,0,0,0,0,0,1,0,0,20,0,1
3,8,341,0,1,0,0,0,0,0,0,18,0,1
3,1,0,1,0,0,0,0,0,0,0,24,0,0
3,2,59,0,0,1,0,0,0,0,0,29,0,1
3,6,42,0,0,1,0,0,0,0,0,29,0,1
3,15,646,0,1,0,0,0,0,0,0,17,0,0
3,16,637,0,0,1,0,0,0,0,0,18,3,1
3,11,444,0,0,1,0,0,0,0,0,16,0,1
3,5,42,0,0,1,0,0,0,0,0,22,0,0
3,4,40,0,0,0,0,0,1,0,0,24,0,0
3,17,809,1,0,0,0,0,0,0,0,23,2,0
3,3,42,0,0,1,0,0,0,0,0,15,0,0
3,9,340,0,0,1,0,0,0,0,0,17,0,1
